"","country","site_code","latitude","longitude"
"1","United States","USEC4",24.62529,-81.11185
"2","United States","USEC6",24.62562,-81.10933
"3","United States","USEC8",24.69262,-81.06097
"4","United States","USEC9",24.6845893859863,-81.0475921630859
"5","United States","USEC10",24.68577,-80.96287
"6","United States","USEC11",24.68553,-80.9645
"7","United States","USEC12",24.54062,-81.41568
"8","United States","USEC13",24.54569,-81.40591
"9","United States","USEC14",24.54678,-81.40524
"10","United States","USEC15",24.68217,-80.97067
"11","United States","USEC16",24.68975,-81.02973
"12","United States","USEC17",24.63217,-81.09053
"13","United States","USEC7",24.62198,-81.11053
"14","United States","CAR2",24.609,-82.87406
"16","United States","CAR1",24.62056,-82.86406
"18","United States","CAR3",24.62429,-82.94296
"22","Cayman Islands","CAR4",19.3066,-81.38695
"25","Colombia","CAR6",13.45645,-81.36713
"26","Colombia","CAR5",13.45828,-81.36453
"31","Colombia","CAR8",13.32793,-81.41154
"33","Colombia","CAR7",13.36448,-81.40478
"36","Colombia","CAR10",13.37479,-81.34405
"39","Colombia","CAR9",13.3803,-81.33894
"43","Colombia","CAR12",13.37159,-81.40394
"46","Colombia","CAR11",13.37903,-81.42346
"47","Colombia","CAR14",13.40015,-81.37399
"49","Colombia","CAR13",13.3895,-81.38481
"51","Colombia","CAR15",13.3987,-81.39579
"55","Colombia","CAR17",12.58681,-81.71718
"57","Colombia","CAR16",12.51884,-81.73215
"63","Colombia","CAR18",12.58415,-81.68365
"66","Colombia","CAR19",12.58619,-81.6887
"67","Colombia","CAR20",12.58338,-81.68528
"72","Panama","CAR23",9.55787,-78.95204
"73","Panama","CAR22",9.55877,-78.95136
"74","Panama","CAR21",9.55746,-78.95041
"77","Panama","CAR25",9.58341,-78.87863
"79","Panama","CAR24",9.58772,-78.88924
"81","Panama","CAR26",9.5847,-78.86837
"85","United States","USEC5",24.6264,-81.11185
"97","Australia","SI13",-29.93308,153.39256
"100","Australia","SI14",-29.91274,153.38342
"103","Australia","SI1",-29.93044,153.38984
"112","Australia","SI2",-29.92314,153.38809
"120","Australia","CBMP1",-28.611,153.62831
"122","Australia","CBMP2",-28.6128,153.62873
"124","Australia","CBMP3",-28.63858,153.61114
"125","Australia","SI23",-29.9251,153.38679
"126","Australia","NI1",-29.07193,167.96139
"128","Australia","NI10",-29.05875,167.95792
"134","Australia","NI12",-29.06139,167.96269
"135","Australia","NI13",-29.06008,167.96166
"136","Australia","NI2",-29.05856,167.95106
"138","Australia","NI3",-28.9996,167.91903
"141","Australia","NI4",-28.99774,167.92
"144","Australia","NI5",-28.9995,167.93832
"147","Australia","NI6",-29.01054,167.91784
"150","Australia","NI7",-29.11731,167.94171
"152","Australia","NI8",-29.11641,167.96309
"155","Australia","NI9",-29.06141,167.96094
"157","Australia","SI22",-29.97515,153.25885
"163","Australia","GBR200",-16.93144,145.98775
"165","Australia","GBR213",-16.52825,145.99349
"169","Australia","GBR210",-16.60383,145.96884
"173","Australia","GBR201",-16.88857,146.19184
"178","Australia","GBR216",-16.42525,145.99103
"179","Australia","GBR204",-16.78849,146.26849
"184","Australia","GBR205",-16.78773,146.26774
"186","Australia","GBR206",-16.78387,146.27118
"188","Australia","GBR207",-16.73392,146.26511
"190","Australia","GBR208",-16.73186,146.26677
"192","Australia","GBR209",-16.7296,146.2678
"194","Australia","GBR192",-17.2294,146.09131
"196","Australia","GBR195",-17.20315,146.07662
"198","Australia","GBR193",-17.22682,146.09528
"200","Australia","GBR194",-17.21662,146.08918
"202","Australia","GBR217",-15.9758,145.8291
"203","Australia","GBR219",-15.9609,145.80432
"204","Australia","GBR218",-15.96846,145.81968
"205","Australia","GBR188",-17.93784,146.16255
"207","Australia","GBR228",-14.65706,145.45076
"209","Australia","GBR229",-14.65528,145.45049
"211","Australia","GBR224",-14.68708,145.44327
"213","Australia","GBR225",-14.68689,145.44195
"215","Australia","GBR233",-14.64588,145.45546
"217","Australia","GBR232",-14.6461,145.45386
"219","Australia","GBR234",-14.64524,145.45471
"221","Australia","GBR223",-14.68717,145.46565
"223","Australia","GBR226",-14.68279,145.46565
"225","Australia","GBR227",-14.66541,145.44227
"227","Australia","GBR222",-14.68924,145.44413
"229","Australia","GBR230",-14.65277,145.4505
"233","Australia","GBR220",-14.69473,145.45921
"235","Australia","GBR221",-14.68942,145.46617
"239","Australia","GBR231",-14.65101,145.44851
"241","Australia","QLD1",-27.93638,153.4276
"242","Australia","GBR256",-23.18698,150.9337
"245","Australia","GBR253",-23.1957,150.93748
"247","Australia","GBR254",-23.18833,150.93451
"250","Australia","GBR263",-23.16335,150.92145
"253","Australia","GBR260",-23.17116,150.92335
"256","Australia","GBR264",-23.15684,150.95608
"259","Australia","GBR262",-23.16641,150.95166
"262","Australia","GBR255",-23.18769,150.9803
"264","Australia","GBR252",-23.19801,150.96855
"266","Australia","GBR261",-23.17081,150.92013
"268","Australia","GBR182",-18.13575,146.2799
"274","Australia","GBR183",-18.04677,146.20102
"276","Australia","GBR187",-18.03613,146.20003
"278","Australia","GBR184",-18.03954,146.20022
"280","Australia","GBR186",-18.0375,146.17934
"282","Australia","GBR185",-18.0385,146.1817
"283","Australia","GBR189",-17.77205,146.44973
"287","Australia","MBMP1",-27.38898,153.55097
"289","Australia","MBMP10",-27.51784,153.38356
"291","Australia","MBMP2",-27.41351,153.52519
"295","Australia","MBMP4",-27.49006,153.37641
"297","Australia","MBMP5",-27.40026,153.43747
"298","Australia","MBMP6",-27.41422,153.52683
"300","Australia","MBMP7",-27.39602,153.4379
"302","Australia","MBMP9",-27.50058,153.37385
"304","Australia","GC1",-16.47914,139.2713
"306","Australia","GC2",-16.42055,139.4664
"308","Australia","GC3",-16.41361,139.63389
"310","Australia","GC4",-16.39255,139.62931
"312","Australia","GC6",-16.378,139.59747
"314","Australia","GC5",-16.38094,139.59973
"316","Australia","GC7",-16.28718,139.42439
"318","Australia","GC9",-16.23366,139.25151
"320","Australia","QLD2",-26.36056,153.11399
"322","Australia","QLD3",-26.35399,153.08292
"323","Australia","GBR150",-19.9783,148.26147
"326","Australia","QLD4",-24.88209,152.48897
"328","Australia","QLD5",-24.8397,152.47916
"330","Australia","GBR143",-20.08833,148.90631
"332","Australia","GBR144",-20.07899,148.87646
"334","Australia","GBR148",-20.04033,148.88061
"335","Australia","GBR142",-20.15526,149.03571
"336","Australia","GBR146",-20.06494,148.92328
"338","Australia","GBR147",-20.05117,148.89869
"340","Australia","WA58",-28.18611,114.23146
"341","Australia","NMP18",-21.91842,113.95551
"342","Australia","WA57",-28.1924,114.24413
"343","Australia","NMP23",-21.97653,113.91861
"345","Australia","WA56",-28.19783,114.2548
"346","Australia","NMP15",-21.90414,113.94328
"347","Australia","WA54",-28.47336,113.77563
