"rls_species_name","phylum","class","order","family","spec_code","worms_id","fishbase_name","esthe_score"
"Chromis anadema","Chordata","Actinopterygii","Perciformes","Pomacentridae",0,1376179,"Chromis anadema",NA
"Saurida undosquamis","Chordata","Actinopterygii","Aulopiformes","Synodontidae",1055,126371,"Saurida undosquamis",NA
"Plectorhinchus sordidus","Chordata","Actinopterygii","Perciformes","Haemulidae",7626,218556,"Plectorhinchus sordidus",NA
"Canthigaster petersii","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae",67511,990515,"Canthigaster petersii",NA
"Gerres longirostris","Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae",7699,367242,"Gerres longirostris",NA
"Pempheris tominagai","Chordata","Teleostei","Acropomatiformes","Pempheridae",67342,1007132,"Pempheris tominagai",NA
"Priacanthus arenatus","Chordata","Actinopterygii","Perciformes","Priacanthidae",1149,127005,"Priacanthus arenatus",NA
"Acanthopagrus morrisonae","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae",67330,1577311,"Acanthopagrus morrisonae",NA
"Scorpaenodes caribbaeus","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae",3946,274743,"Scorpaenodes caribbaeus",NA
"Pomacentrus flavioculus","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae",68810,1376228,"Pomacentrus flavioculus",NA
"Amphiprion pacificus","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae",65761,712752,"Amphiprion pacificus",NA
"Pseudanthias cooperi","Chordata","Actinopterygii","Perciformes","Serranidae",13006,218275,"Pseudanthias cooperi",NA
"Pomacentrus maafu","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae",0,834968,"Pomacentrus maafu",NA
"Canthigaster solandri","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae",6578,219945,"Canthigaster solandri",NA
"Gunnellichthys pleurotaenia","Chordata","Teleostei","Gobiiformes","Microdesmidae",7587,278223,"Gunnellichthys pleurotaenia",NA
"Amphiprion barberi","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae",64181,398553,"Amphiprion barberi",NA
"Pycnochromis fieldi","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae",66758,1605307,"Pycnochromis fieldi",NA
"Plectorhinchus centurio","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae",65001,1577349,"Plectorhinchus centurio",NA
"Pempheris leiolepis","Chordata","Teleostei","Acropomatiformes","Pempheridae",68328,1042768,"Pempheris leiolepis",NA
"Gymnocranius grandoculis","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae",1834,218579,"Gymnocranius grandoculis",NA
"Pempheris smithorum","Chordata","Teleostei","Acropomatiformes","Pempheridae",68340,1042814,"Pempheris smithorum",NA
"Siganus uspi","Chordata","Teleostei","Acanthuriformes","Siganidae",4631,273926,"Siganus uspi",NA
"Mulloidichthys pfluegeri","Chordata","Teleostei","Mulliformes","Mullidae",5985,218650,"Mulloidichthys pfluegeri",NA
"Neopomacentrus sororius","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae",62948,278915,"Neopomacentrus sororius",NA
"Neopomacentrus fallax","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae",22826,218840,"Neopomacentrus fallax",NA
