"rls_species_name","phylum","class","order","family","spec_code","worms_id","fishbase_name","public_attention","academic_knowledge"
"Caranx ruber","Chordata","Actinopterygii","Perciformes","Carangidae",1918,302432,"Caranx ruber",NA,NA
"Pseudanthias fasciatus","Chordata","Actinopterygii","Perciformes","Serranidae",10632,277451,"Pseudanthias fasciatus",NA,NA
"Chromis kennensis","Chordata","Actinopterygii","Perciformes","Pomacentridae",67999,304168,"Chromis kennensis",NA,NA
"Centropyge vrolikii","Chordata","Actinopterygii","Perciformes","Pomacanthidae",5447,278853,"Centropyge vrolikii",NA,NA
"Microcanthus joyceae","Chordata","Teleostei","Centrarchiformes","Kyphosidae",69425,1493817,"Microcanthus joyceae",NA,NA
"Diagramma pictum","Chordata","Actinopterygii","Perciformes","Haemulidae",4465,218536,"Diagramma pictum",NA,NA
"Aeoliscus strigatus","Chordata","Actinopterygii","Gasterosteiformes","Centriscidae",6503,217968,"Aeoliscus strigatus",NA,NA
"Gymnocranius superciliosus","Chordata","Actinopterygii","Perciformes","Lethrinidae",67933,835108,"Gymnocranius superciliosus",NA,NA
"Plectorhinchus schotaf","Chordata","Actinopterygii","Perciformes","Haemulidae",7706,218551,"Plectorhinchus schotaf",NA,NA
"Paraplotosus muelleri","Chordata","Actinopterygii","Siluriformes","Plotosidae",61300,282099,"Paraplotosus muelleri",NA,NA
"Acanthopagrus palmaris","Chordata","Actinopterygii","Perciformes","Sparidae",8110,279072,"Acanthopagrus palmaris",NA,NA
"Parapercis hexophtalma","Chordata","Actinopterygii","Perciformes","Pinguipedidae",7866,219159,"Parapercis hexophtalma",NA,NA
"Parapercis bimacula","Chordata","Actinopterygii","Perciformes","Pinguipedidae",66872,834988,"Parapercis bimacula",NA,NA
"Diplectrum pacificum","Chordata","Actinopterygii","Perciformes","Serranidae",14248,276183,"Diplectrum pacificum",NA,NA
"Lutjanus colorado","Chordata","Actinopterygii","Perciformes","Lutjanidae",1426,276529,"Lutjanus colorado",NA,NA
"Strongylura incisa","Chordata","Actinopterygii","Beloniformes","Belonidae",8121,275981,"Strongylura incisa",NA,NA
"Chromis anadema","Chordata","Actinopterygii","Perciformes","Pomacentridae",0,1376179,"Chromis anadema",NA,NA
