,country,site_id,site_name,year_est,lfp,priority,included
1,Antigua and Barbuda,AIAG10,low bay sanctuary,2014,,,#N/A
5,Antigua and Barbuda,AIAG12,northeast marine management area marine reserve,2005,,,#N/A
11,Antigua and Barbuda,AIAG13,palastar reef sanctuary,,,,#N/A
14,Antigua and Barbuda,AIAG14,palaster reef marine national park,,,,#N/A
15,Antigua and Barbuda,AIAG16,two foot bay sanctuary,,,,#N/A
16,Antigua and Barbuda,AIAG18,devil's bridge national park,,,,#N/A
18,Antigua and Barbuda,AIAG3,cades bay marine reserve,,,,#N/A
21,Antigua and Barbuda,AIAG4,codrington lagoon national park,,,,#N/A
23,Antigua and Barbuda,AIAG5,diamond reef and salt fish tail reef marine reserve,,,,#N/A
25,Antigua and Barbuda,AIAG9,goat point sanctuary,,,,#N/A
26,Anguilla,AIAI3,prickly pear cays and seal island reefs marine park,1993,,,#N/A
29,Anguilla,AIAI4,sandy island marine park,1993,,,#N/A
30,Anguilla,AIAI5,little bay marine park,1993,,,#N/A
31,Anguilla,AIAI6,shoal bay and island harbor reefs marine park,1993,,,#N/A
33,Anguilla,AIAI8,dog island marine park,1993,,,#N/A
34,Albania,AIALB13,karaburun-sazani marine national park: core zones,2010,,,#N/A
39,Albania,AIALB14,karaburun-sazani marine national park: effective management zones,2010,,,#N/A
47,Albania,AIALB15,karaburun-sazani marine national park: recreative zones,2010,,,#N/A
53,Albania,AIALB16,karaburun-sazani marine national park: sustainable development zones,2010,,,#N/A
55,Netherlands Antilles,AIAN16,bonaire national marine park,1999,4,High,#N/A
63,Netherlands Antilles,AIAN18,washington slagbaai national park,1969,,,#N/A
65,Netherlands Antilles,AIAN25,yarari sanctuary,2015,2,High,#N/A
100,Netherlands Antilles,AIAN26,saba national marine park,1987,,,#N/A
101,Netherlands Antilles,AIAN27,saba national marine park no-take zones,1987,,,#N/A
102,Netherlands Antilles,AIAN30,quill / boven national park,1997,,,#N/A
105,Netherlands Antilles,AIAN31,statia national marine park,1996,,,#N/A
109,Netherlands Antilles,AIAN40,man of war shoal marine park,2010,,,#N/A
111,Netherlands Antilles,AIAN41,man of war shoal marine park - marine protected area,2010,,,#N/A
113,Australia,AIAUS1003,king george island conservation covenant,2008,,,#N/A
114,Australia,AIAUS1004,king island conservation park,2004,,,#N/A
3120,Australia,AIAUS33,adelaide international bird sanctuary - winaityinaityi pangkara national park,2018,,,#N/A
116,Australia,AIAUS101,bass pyramid nature reserve,1999,,,#N/A
3127,Australia,AIAUS34,adele island nature reserve,2001,,,#N/A
3128,Australia,AIAUS35,aire river heritage river,1992,,,#N/A
3632,Australia,AIAUS72,austin bay nature reserve,,,,#N/A
3952,Australia,AIAUS85,bald island nature reserve,1964,,,#N/A
3995,Australia,AIAUS94,barnard island group national park,1994,,,#N/A
853,Australia,AIAUS2279,barranyi (north island) national park,1992,,,#N/A
3997,Australia,AIAUS97,barrow island nature reserve,1910,,,#N/A
3643,Australia,AIAUS732,baxter island gippsland lakes reserve,,,,#N/A
146,Australia,AIAUS1091,little chalky island conservation area,2013,,,#N/A
147,Australia,AIAUS1094,little dog island game reserve,1999,,,#N/A
148,Australia,AIAUS1095,little green island conservation area,2011,,,#N/A
149,Australia,AIAUS1096,little island conservation area,2011,,,#N/A
150,Australia,AIAUS1097,little peggs beach state reserve,2008,,,#N/A
151,Australia,AIAUS1102,little trefoil conservation area,2012,,,#N/A
693,Australia,AIAUS195,bedout island nature reserve,1975,,,#N/A
155,Australia,AIAUS1109,long bay conservation area,2012,,,#N/A
781,Australia,AIAUS207,bessieres island nature reserve,2000,,,#N/A
157,Australia,AIAUS1111,long island conservation area,2011,,,#N/A
816,Australia,AIAUS216,bird island conservation park,1972,,,#N/A
1417,Australia,AIAUS237,"boodie, double middle islands nature reserve",,,,#N/A
1677,Australia,AIAUS243,"boullanger, whitlock, favourite, tern and osprey islands nature reserve",,,,#N/A
3054,Australia,AIAUS252,breaksea island nature reserve,1969,,,#N/A
170,Australia,AIAUS1185,maria island national park,2007,,,#N/A
171,Australia,AIAUS1186,maria island national park - sanctuary zone,1991,5,High,#N/A
173,Australia,AIAUS1187,maria island national park - fishing zone,2007,,High,#N/A
175,Australia,AIAUS1188,marion beach conservation area,2007,,,#N/A
3057,Australia,AIAUS260,broad sound islands national park,2000,,,#N/A
3087,Australia,AIAUS267,brook islands national park,2000,,,#N/A
178,Australia,AIAUS1225,middle island conservation area,2011,,,#N/A
179,Australia,AIAUS1227,mile island conservation area,2000,,,#N/A
180,Australia,AIAUS1228,millingtons beach conservation area,1999,,,#N/A
3091,Australia,AIAUS273,brush island nature reserve,1963,,,#N/A
3092,Australia,AIAUS275,bull island nature reserve,2005,,,#N/A
3095,Australia,AIAUS291,bushy island nature reserve,2003,,,#N/A
188,Australia,AIAUS1241,montagu island conservation area,2011,,,#N/A
3096,Australia,AIAUS294,byfield conservation park,,,,#N/A
3098,Australia,AIAUS303,cap island conservation park,1991,,,#N/A
3130,Australia,AIAUS366,capricornia cays national park,2014,,,#N/A
198,Australia,AIAUS1276,moreton bay marine park - marine national park -,1990,5,High,#N/A
237,Australia,AIAUS1277,moreton bay marine park - conservation park -,1993,3,High,#N/A
263,Australia,AIAUS1278,moreton bay marine park - habitat protection -,1993,2,High,#N/A
3137,Australia,AIAUS367,capricornia cays national park (scientific),2016,,,#N/A
3141,Australia,AIAUS368,carnac island nature reserve,1967,,,#N/A
3142,Australia,AIAUS371,casuarina coastal reserve,,1,High,#N/A
3144,Australia,AIAUS386,charles darwin national park,,,,#N/A
311,Australia,AIAUS1331,nares rocks conservation area,2012,,,#N/A
312,Australia,AIAUS1335,native point nature reserve,1999,,,#N/A
313,Australia,AIAUS1336,neds reef conservation area,2011,,,#N/A
3145,Australia,AIAUS388,chatham island nature reserve,,,,#N/A
315,Australia,AIAUS1341,neptune islands group marine park - restricted access zone (existing),2012,,,#N/A
3153,Australia,AIAUS399,claremont isles national park,,,,#N/A
318,Australia,AIAUS1346,new year island game reserve,1999,,,#N/A
5212,Algeria,AIDZA10,réserve naturelle du lac de réghaïa,1999,,,Algeria
5216,Algeria,AIDZA5,"iles habibas - zone a, central zone",2003,,,Algeria
5217,Algeria,AIDZA6,"iles habibas - zone b, buffer zone",2003,,,Algeria
5218,Algeria,AIDZA7,"iles habibas - zone c, transition zone",2003,,,Algeria
3157,Australia,AIAUS430,cook island nature reserve,,,,#N/A
3220,Australia,AIAUS440,coral sea australian marine park - special purpose zone (trawl),,,,#N/A
326,Australia,AIAUS1396,night island conservation area,2012,,,#N/A
3431,Australia,AIAUS449,corrie island nature reserve,,,,#N/A
331,Australia,AIAUS1447,ninth island conservation area,2012,,,#N/A
3578,Australia,AIAUS704,couburg (garig gunak barlu) marine park,,,,#N/A
333,Australia,AIAUS1457,norfolk bay conservation area,2012,,,#N/A
3434,Australia,AIAUS471,curtis island national park,,,,#N/A
336,Australia,AIAUS1460,north east islet nature reserve,1999,,,#N/A
3441,Australia,AIAUS473,cygnet estuary conservation park,,,,#N/A
3444,Australia,AIAUS490,denham group national park,,,,#N/A
3455,Australia,AIAUS509,durands island nature reserve,,,,#N/A
3456,Australia,AIAUS518,east kangaroo island nature reserve,,,,#N/A
3467,Australia,AIAUS538,eba island conservation park,,,,#N/A
3468,Australia,AIAUS540,eclipse island nature reserve,,,,#N/A
3479,Australia,AIAUS598,"encounter marine park - restricted access zone (existing) - raz-1, busby islet conservation park",,,,#N/A
3480,Australia,AIAUS617,entrance point reference area,,,,#N/A
3482,Australia,AIAUS618,escape island nature reserve,,,,#N/A
3483,Australia,AIAUS620,esperance point conservation area,,,,#N/A
3485,Australia,AIAUS622,eucla national park,,,,#N/A
364,Australia,AIAUS1490,nuyts archipelago marine park - sanctuary zone - sz-8 -,2014,5,High,#N/A
3488,Australia,AIAUS629,family islands national park,,,,#N/A
371,Australia,AIAUS1492,nuyts archipelago wilderness protection area,2014,5,High,#N/A
3561,Australia,AIAUS6d,cocos (keeling) islands marine park - habitat protection zone,2022,,,Australia
3554,Australia,AIAUS6a,cocos (keeling) islands marine park - national park zone,2022,,,Australia
3559,Australia,AIAUS6b,cocos (keeling) islands marine park - national park zone - the rip,2022,,,Australia
3560,Australia,AIAUS6c,cocos (keeling) islands marine park - national park zone - trannies beach,2022,,,Australia
397,Australia,AIAUS1499,nuyts archipelago marine park - habitat protection zone - hpz-6 -,2014,2,High,#N/A
3533,Australia,AIAUS643,first and second islands flora reserve,,,,#N/A
410,Australia,AIAUS1501,nuyts archipelago marine park - habitat protection zone - hpz-8 -,2014,2,High,#N/A
3534,Australia,AIAUS649,fitzroy island national park,,,,#N/A
3536,Australia,AIAUS652,five islands nature reserve,,,,#N/A
3537,Australia,AIAUS655,flat island nature reserve,,,,#N/A
321,Australia,AIAUS1365,flinders bay nature reserve,,,,#N/A
435,Australia,AIAUS1526,oyster rocks conservation area,2000,,,#N/A
436,Australia,AIAUS1527,paddys island nature reserve,2005,,,#N/A
437,Australia,AIAUS1531,parnella conservation area,1999,,,#N/A
438,Australia,AIAUS1534,pasco group conservation area,2011,,,#N/A
439,Australia,AIAUS1535,passage island conservation area,2011,,,#N/A
441,Australia,AIAUS1543,pelican island conservation area,2007,,,#N/A
3541,Australia,AIAUS666,fossil beach geological reserve,,,,#N/A
3544,Australia,AIAUS674,fowlers bay conservation park,,,,#N/A
3549,Australia,AIAUS676,frankland group national park,,,,#N/A
3551,Australia,AIAUS678,franklin harbor conservation park,,,,#N/A
454,Australia,AIAUS1550,perkins island conservation area,1999,,,#N/A
