site_code,site_name,latitude,longitude,country,rls_mpa,rls_protection_status_old,designation,protected_seas_id,wdpa_id,ps_name,ps_country,year_of_protection,level_fishing_protection,mpa_marine_area_km,zone_marine_area_km,compliance,data_source,validated,comments
ACEH1,Rubiah Jetty Nth,5.88147,95.25631,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH10,Ujung Kareung,5.87792,95.35384,Indonesia,Panglima Laut,Restricted take,MPA,AIIDN1506,,east coast of weh is. aquatic nature sanctuary - core zones,Indonesia,2010,4,0.151,0.129,Medium,Mix,EC,LFP reduced as not no-take. Year updated from RLS data.
ACEH11,Bate Bukulah,5.86718,95.2696,Indonesia,Kawasan Wisata,Restricted take,Fished,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,0,NA,,Medium,RLS,EC,Year of protection updated.
ACEH12,Tokong,5.89787,95.25255,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH13,Paloh,5.6639,95.09202,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH14,Lamteng,5.64638,95.16272,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH15,Ujung Murung,5.84835,95.28406,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH16,Rubiah Channel Nth,5.88585,95.25413,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH17,Ujung Lumbeh,5.87248,95.26192,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH18,Beurawang,5.77726,95.33671,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH19,Jaboi,5.80058,95.34664,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH2,Rubiah Sea Garden,5.88102,95.26021,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH20,Ujung Rubiah,5.88679,95.25651,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH21,Ujung Tunku,5.88277,95.24911,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH22,Ujung Tunku Nth,5.88289,95.25118,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH23,Rhenteuk,5.85724,95.36138,Indonesia,Panglima Laut,Restricted take,MPA,AIIDN1506,,east coast of weh is. aquatic nature sanctuary - core zones,Indonesia,2010,4,0.151,0.157,Medium,Mix,EC,LFP reduced as not no-take. Year updated from RLS data.
ACEH24,Sumur Tiga,5.89158,95.34356,Indonesia,Panglima Laut,Restricted take,MPA,AIIDN1513,,east coast of weh is. aquatic nature sanctuary - sustainable fisheries zone,Indonesia,2010,3,NA,29.859,Medium,PS,EC,Year of protection updated.
ACEH25,Pulau Klah,5.87715,95.31384,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH26,Lhok Weng,5.86461,95.26884,Indonesia,Kawasan Wisata,Restricted take,Fished,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,0,NA,,Medium,RLS,EC,Year of protection updated.
ACEH27,Gapang,5.8543,95.27358,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH28,Batee Meurenon,5.87207,95.26658,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH29,Deudap,5.60681,95.19375,Indonesia,,Fishing,MPA,AIIDN905,,aceh besar aquatic nature sanctuary - sustainable fishery zones,Indonesia,2020,2,264.9932438,37.221,Medium,PS,EC,
ACEH3,W Seulako,5.89492,95.25287,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH30,Pasi Janeng 1,5.6291,95.13154,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH4,Rubiah Channel,5.88529,95.25431,Indonesia,Kawasan Wisata,Restricted take,MPA,AIIDN1149,8907,weh island nature tourism park,Indonesia,2008,1,NA,51.581,Medium,PS,EC,Year of protection updated.
ACEH5,Pasi Janeng 2,5.63217,95.13788,Indonesia,,Fishing,Fished,,,,,,0,,,,RLS,EC,
ACEH6,Lhoh,5.66782,95.12632,Indonesia,,Fishing,MPA,AIIDN921,,aceh besar aquatic nature sanctuary - other zones,Indonesia,2020,1,1.572779686,0.494,Medium,PS,EC,
