"model","explanatory_R2","Init_var_explained_by_fixed_effects","predictive_R2","RMSE","Widely_AIC"
"No random levels","0.32 (s.d. = 0.17)","0.32 (s.d. = 0.17)","0.29 (s.d. = 0.17)","0.78 (s.d. = 0.12)",30.64
"(1|country)","0.38 (s.d. = 0.19)","0.16 (s.d. = 0.07)","0.34 (s.d. = 0.2)","0.74 (s.d. = 0.16)",31.53
"(1|site/country)","0.66 (s.d. = 0.15)","0.17 (s.d. = 0.08)","0.33 (s.d. = 0.21)","0.54 (s.d. = 0.15)",35.12
"(1|sample_unit/country)","0.67 (s.d. = 0.22)","0.19 (s.d. = 0.08)","0.34 (s.d. = 0.21)","0.5 (s.d. = 0.22)",37.89
"(1|sample_unit/site/country)","0.79 (s.d. = 0.17)","0.18 (s.d. = 0.08)","0.33 (s.d. = 0.2)","0.39 (s.d. = 0.19)",40.93
"(1|ecoregion)","0.42 (s.d. = 0.2)","0.15 (s.d. = 0.07)","0.37 (s.d. = 0.22)","0.71 (s.d. = 0.17)",32.15
"(1|site/ecoregion)","0.66 (s.d. = 0.16)","0.17 (s.d. = 0.07)","0.34 (s.d. = 0.23)","0.54 (s.d. = 0.15)",35.21
"(1|sample_unit/ecoregion)","0.73 (s.d. = 0.18)","0.18 (s.d. = 0.08)","0.36 (s.d. = 0.22)","0.46 (s.d. = 0.19)",39.68
"Full model with pH and HDI","0.67 (s.d. = 0.22)","0.19 (s.d. = 0.08)","0.34 (s.d. = 0.21)","0.5 (s.d. = 0.22)",37.89
"Full model without pH and HDI","0.68 (s.d. = 0.22)","0.18 (s.d. = 0.07)","0.34 (s.d. = 0.21)","0.5 (s.d. = 0.22)",38.39
"Full model with PCA habitat","0.67 (s.d. = 0.22)","0.17 (s.d. = 0.07)","0.33 (s.d. = 0.21)","0.5 (s.d. = 0.22)",38.66
"Null model","0.67 (s.d. = 0.21)","NaN (s.d. = NA)","0.24 (s.d. = 0.22)","0.51 (s.d. = 0.2)",38.78
